set	holdout	mode	loci	multi_gene_loci	heldout_supported_loci_any_candidate	observed_loci	null_locus_mean	null_locus_sd	fold_enrichment	empirical_p_upper	n_permutations
observed_exact_non_eqtl	eqtl_catalogue_pip_ge_0_1	top1_vs_distance_weighted_local_gene_null	807	341	62	47	36.701	2.748522546404531	1.2806190567014522	0.0009995002498750624	2000
observed_exact_non_eqtl	eqtl_catalogue_pip_ge_0_1	top3_vs_uniform_local_gene_null	807	341	62	56	51.9135	2.1822921320196196	1.0787174819651921	0.050974512743628186	2000
observed_exact_non_eqtl	eqtl_catalogue_pip_ge_0_1	nearest_gene_baseline_descriptive	807	341	62	42					
systemic_non_neural_exact	eqtl_catalogue_pip_ge_0_1	top1_vs_uniform_local_gene_null	379	150	27	22	14.0755	1.936149293583406	1.562999538204682	0.0004997501249375312	2000
systemic_non_neural_exact	eqtl_catalogue_pip_ge_0_1	top1_vs_gene_degree_local_gene_null	379	150	27	22	17.0905	2.1077312484061514	1.2872648547438637	0.015992003998001	2000
systemic_non_neural_exact	eqtl_catalogue_pip_ge_0_1	top1_vs_distance_weighted_local_gene_null	379	150	27	22	15.697	1.8721494255897064	1.401541695865452	0.0004997501249375312	2000
systemic_non_neural_exact	eqtl_catalogue_pip_ge_0_1	top3_vs_uniform_local_gene_null	379	150	27	25	23.2305	1.3473223031978454	1.0761714125825963	0.1724137931034483	2000
systemic_non_neural_exact	eqtl_catalogue_pip_ge_0_1	nearest_gene_baseline_descriptive	379	150	27	17					
lower_recurrence_exact	abc_nasser_any	top1_vs_uniform_local_gene_null	543	229	37	26	27.362	1.9654229681475335	0.9502229369198159	0.8265867066466767	2000
lower_recurrence_exact	abc_nasser_any	top1_vs_gene_degree_local_gene_null	543	229	37	26	30.1725	1.9651143954726011	0.8617118236805038	0.9895052473763118	2000
lower_recurrence_exact	abc_nasser_any	top1_vs_distance_weighted_local_gene_null	543	229	37	26	27.108	1.8035970950410793	0.9591264571344252	0.8110944527736131	2000
lower_recurrence_exact	abc_nasser_any	top3_vs_uniform_local_gene_null	543	229	37	35	35.862	0.9046353865460358	0.9759634153142601	0.9270364817591205	2000
lower_recurrence_exact	abc_nasser_any	nearest_gene_baseline_descriptive	543	229	37	28					
moderate_exact_non_eqtl	abc_nasser_any	top1_vs_uniform_local_gene_null	738	318	49	36	33.9245	2.4059705104278657	1.0611799731757283	0.25687156421789104	2000
moderate_exact_non_eqtl	abc_nasser_any	top1_vs_gene_degree_local_gene_null	738	318	49	36	37.9465	2.4907307401262595	0.9487040965569947	0.8300849575212393	2000
moderate_exact_non_eqtl	abc_nasser_any	top1_vs_distance_weighted_local_gene_null	738	318	49	36	34.18	2.130462258458797	1.0532475131655938	0.26436781609195403	2000
moderate_exact_non_eqtl	abc_nasser_any	top3_vs_uniform_local_gene_null	738	318	49	47	46.991	1.218466795060634	1.0001915260369008	0.6851574212893553	2000
moderate_exact_non_eqtl	abc_nasser_any	nearest_gene_baseline_descriptive	738	318	49	35					
observed_exact_non_eqtl	abc_nasser_any	top1_vs_uniform_local_gene_null	807	341	52	39	36.901	2.399391076662865	1.0568819273190428	0.2493753123438281	2000
observed_exact_non_eqtl	abc_nasser_any	top1_vs_gene_degree_local_gene_null	807	341	52	39	41.103	2.3969279571601456	0.9488358513977082	0.8610694652673663	2000
observed_exact_non_eqtl	abc_nasser_any	top1_vs_distance_weighted_local_gene_null	807	341	52	39	37.0885	2.203428078619501	1.0515388867169069	0.2593703148425787	2000
observed_exact_non_eqtl	abc_nasser_any	top3_vs_uniform_local_gene_null	807	341	52	50	49.9375	1.2314024224285827	1.0012515644555695	0.6601699150424788	2000
observed_exact_non_eqtl	abc_nasser_any	nearest_gene_baseline_descriptive	807	341	52	38					
systemic_non_neural_exact	abc_nasser_any	top1_vs_uniform_local_gene_null	379	150	29	25	21.8695	1.7609713967381937	1.1431445620613183	0.06796601699150424	2000
systemic_non_neural_exact	abc_nasser_any	top1_vs_gene_degree_local_gene_null	379	150	29	25	24.019	1.7231144946813284	1.0408426662225738	0.3983008495752124	2000
systemic_non_neural_exact	abc_nasser_any	top1_vs_distance_weighted_local_gene_null	379	150	29	25	22.497	1.5359591743573935	1.1112592790149798	0.0879560219890055	2000
systemic_non_neural_exact	abc_nasser_any	top3_vs_uniform_local_gene_null	379	150	29	29	28.213	0.7771312414793538	1.027894942047992	0.4112943528235882	2000
