set	tested_variants	tested_loci_500kb	observed_concordant_variants	observed_concordant_loci_500kb	null_variant_mean	null_variant_sd	variant_fold_enrichment	variant_empirical_p_upper	null_locus_mean	null_locus_sd	locus_fold_enrichment	locus_z_score	locus_empirical_p_upper	n_permutations
overall_non_eqtl_tested	2136	1192	1278	807	326.5555	13.250649403135018	3.9135767120749767	0.0004997501249375312	266.329	11.004331267883872	3.0300868474706095	49.132563064322476	0.0004997501249375312	2000
source_core_exact_n10	913	640	545	411	201.1115	9.353545432405726	2.709939511166691	0.0004997501249375312	168.6725	8.032714734322482	2.4366746209370227	30.16757198716071	0.0004997501249375312	2000
source_lower_recurrence_exact	1223	833	733	543	125.459	9.20041536135248	5.842546170462064	0.0004997501249375312	114.282	8.395338996039959	4.751404420643671	51.06619282464047	0.0004997501249375312	2000
score_hidden_lt0.2	228	197	127	116	60.879	4.895951814722653	2.0861052251186782	0.0004997501249375312	58.3225	4.51361053814405	1.98894080329204	12.77857261112218	0.0004997501249375312	2000
score_moderate_0.2_0.5	1908	1094	1151	738	265.9925	12.05417335604764	4.32718967640065	0.0004997501249375312	219.686	10.231116355067783	3.3593401491219286	50.66055179240174	0.0004997501249375312	2000
axis_systemic_non_neural	891	563	550	379	100.635	8.132702221445918	5.465295374372733	0.0004997501249375312	88.8275	7.11688617194291	4.266696687399736	40.772395818828016	0.0004997501249375312	2000
axis_neuro_systemic	357	299	214	187	67.0855	5.863905050494986	3.1899590820669146	0.0004997501249375312	61.772	5.287815853284712	3.027261542446416	23.68236781963771	0.0004997501249375312	2000
axis_neural_enriched	327	294	184	174	59.616	5.50760482019432	3.0864197530864197	0.0004997501249375312	57.0715	5.386454742903599	3.0488071979884883	21.707877552308002	0.0004997501249375312	2000
axis_systemic_other	501	413	285	244	63.806	6.197141783366068	4.466664576999029	0.0004997501249375312	59.1915	5.7229541193273565	4.122213493491464	32.29250071669653	0.0004997501249375312	2000
