set	loci	exact_convergence_loci	ot_coloc_h4_loci	ot_coloc_h4_rate	eqtl_catalogue_pip_ge_0_1_loci	eqtl_catalogue_pip_ge_0_1_rate	abc_nasser_loci	abc_nasser_rate	external_multi_source_loci	external_multi_source_rate	full_stack_loci	full_stack_rate	median_max_n_families	median_max_score	median_candidate_gene_count
all_strict_loci	1630	807	267	0.1638036809815951	62	0.03803680981595092	52	0.03190184049079755	50	0.03067484662576687	50	0.03067484662576687	4.0	0.25585919999999995	0.0
evidence_disjoint_exact_loci	807	807	267	0.3308550185873606	62	0.0768277571251549	52	0.0644361833952912	50	0.061957868649318466	50	0.061957868649318466	5.0	0.26435342	1.0
moderate_exact_loci	748	748	253	0.3382352941176471	59	0.07887700534759358	50	0.06684491978609626	49	0.06550802139037433	49	0.06550802139037433	5.0	0.27169013	1.0
hidden_exact_loci	143	143	49	0.34265734265734266	18	0.1258741258741259	7	0.04895104895104895	12	0.08391608391608392	12	0.08391608391608392	6.0	0.23293474	1.0
lower_recurrence_exact_loci	593	593	208	0.35075885328836426	53	0.0893760539629005	45	0.07588532883642496	44	0.07419898819561552	44	0.07419898819561552	5.0	0.26477253	1.0
core_recurrence_exact_loci	455	455	167	0.367032967032967	44	0.0967032967032967	30	0.06593406593406594	36	0.07912087912087912	36	0.07912087912087912	6.0	0.284124	1.0
systemic_non_neural_exact_loci	420	420	157	0.3738095238095238	39	0.09285714285714286	32	0.0761904761904762	34	0.08095238095238096	34	0.08095238095238096	6.0	0.27704594	1.0
