model	unit	outcome	term	scale	n	events	odds_ratio	ci95_low	ci95_high	wald_p	converged
external_eqtl_catalogue_pip_ge_0_1	evidence_disjoint_exact_500kb_locus	eqtl_catalogue_pip_ge_0_1_locus	lower_recurrence_locus	binary	807	62	2.142907535736187	0.8063886529611993	5.694589934831202	0.12639948584896485	True
external_eqtl_catalogue_pip_ge_0_1	evidence_disjoint_exact_500kb_locus	eqtl_catalogue_pip_ge_0_1_locus	systemic_non_neural_locus	binary	807	62	0.6983376821120691	0.35053053559769887	1.3912497449790187	0.3072450812193497	True
external_eqtl_catalogue_pip_ge_0_1	evidence_disjoint_exact_500kb_locus	eqtl_catalogue_pip_ge_0_1_locus	strict_variant_count	per_1_sd	807	62	1.386483966035566	1.040864193262216	1.8468670557768279	0.025496984030999936	True
external_eqtl_catalogue_pip_ge_0_1	evidence_disjoint_exact_500kb_locus	eqtl_catalogue_pip_ge_0_1_locus	max_qtl_gene_count	per_1_sd	807	62	1.096546063363867	0.8183659091371787	1.4692856284134868	0.5370026072311045	True
external_eqtl_catalogue_pip_ge_0_1	evidence_disjoint_exact_500kb_locus	eqtl_catalogue_pip_ge_0_1_locus	max_screen_gene_count	per_1_sd	807	62	0.9600424070124206	0.71674496276158	1.2859266142743622	0.7844895720214362	True
external_eqtl_catalogue_pip_ge_0_1	evidence_disjoint_exact_500kb_locus	eqtl_catalogue_pip_ge_0_1_locus	max_score	per_1_sd	807	62	0.8110929087272682	0.5690241827825085	1.1561401544846315	0.246972123292446	True
external_eqtl_catalogue_pip_ge_0_1	evidence_disjoint_exact_500kb_locus	eqtl_catalogue_pip_ge_0_1_locus	max_candidate_gene_count	per_1_sd	807	62	1.4372734671824208	1.1021279502553387	1.8743332105750403	0.007409382103539886	True
external_eqtl_catalogue_pip_ge_0_1	evidence_disjoint_exact_500kb_locus	eqtl_catalogue_pip_ge_0_1_locus	ot_ld_proxy_locus	binary	807	62	1.1795115773992535	0.6455991955196897	2.1549710267203155	0.5913141615039026	True
external_abc_enhancer_gene	evidence_disjoint_exact_500kb_locus	abc_nasser_locus	moderate_locus	binary	807	52	0.6891170312682485	0.12004431186601977	3.9558915820515965	0.6762322268885032	True
external_abc_enhancer_gene	evidence_disjoint_exact_500kb_locus	abc_nasser_locus	family_breadth_ge5	binary	807	52	1.301521695657487	0.49744706799756366	3.4053044700535597	0.5912387884868384	True
